,Total Return,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Hit Rate
S&P 500 daily exposure,1.206741725245846,0.0543472041925539,0.11300741573653751,0.25969696184935737,0.2805117876941881,-0.1927981331741615,0.3866772823779193
S&P/Gold/BTC 60/30/10 daily exposure,3.496722468253278,0.1057410668422274,0.11048188395588587,0.6939375921637075,0.8648401476526996,-0.22666958101313983,0.4883227176220807
Static HMM daily exposure,4.4419717552068825,0.11993695327130371,0.152719751409259,0.6221918922854919,0.6847522498977736,-0.23344888244020467,0.37951167728237795
Static HMM/Gold/BTC 60/30/10 daily exposure,3.709978461889997,0.10917194764626159,0.10956194034019978,0.727137436246375,0.9075922265659232,-0.2169789821707735,0.4907112526539278
Static HMM with momentum/Gold/BTC 60/30/10 daily exposure,6.77661143967963,0.14698924988272033,0.12764459091607275,0.9037904857145643,1.1386520150811805,-0.2077675906193348,0.48434182590233543
