,Total Return,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Hit Rate
S&P 500 daily exposure,1.4765576422820597,0.06251040984209855,0.09993396376616305,0.3569756969746108,0.3560776463782481,-0.19220351378826528,0.38136942675159236
S&P/Gold/BTC 60/30/10 daily exposure,4.285367581065673,0.11775263320221874,0.09843272529120077,0.8759552741266932,1.0449828355495254,-0.2193325584431517,0.49336518046709127
Static HMM daily exposure,4.3845936062613395,0.11914353172974157,0.14270754635762598,0.6505238043367739,0.6940971183700014,-0.2330207880563928,0.3842887473460722
Static HMM/Gold/BTC 60/30/10 daily exposure,4.136993639736766,0.11562666085431061,0.09837007854381438,0.8570917676044787,1.021269638261274,-0.20188574652802793,0.49363057324840764
Static HMM with momentum/Gold/BTC 60/30/10 daily exposure,7.473715228621437,0.15359181528605448,0.11727358095577756,1.0218971852075773,1.242308751261488,-0.20389843005260577,0.49363057324840764
