ticker
NVDA
TSLA
AAPL
MSFT
AMZN
META
PLTR
AMD
GOOGL
AVGO
GOOG
NFLX
LLY
MU
UNH
COIN
JPM
ORCL
INTC
BRK-B
V
HOOD
APP
CRM
COST
XOM
SMCI
BAC
WMT
BA
