,Total Return,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Hit Rate
S&P 500 daily exposure,1.4765576422820597,0.06251040984209855,0.09993396376616305,0.3569756969746108,0.3560776463782481,-0.19220351378826528,0.38136942675159236
S&P/Gold/BTC 60/30/10 daily exposure,3.9894710152004533,0.1134553009783219,0.09020674889171977,0.9045246022986535,1.0804912401457116,-0.1838927129121718,0.49336518046709127
Static HMM daily exposure,4.820934209805792,0.1249892102139829,0.14572577748542542,0.6758335303493936,0.721364761898932,-0.2351245162658473,0.386411889596603
Static HMM/Gold/BTC 60/30/10 daily exposure,7.415092815686757,0.15305648450941356,0.11179352245400888,1.0622406950220695,1.2855598611491237,-0.19208327022483873,0.49708067940552014
