,S&P 500,S&P 500 daily exposure,S&P/Gold/BTC 60/30/10 daily exposure,Static HMM daily exposure,Static HMM/Gold/BTC 60/30/10 daily exposure,Static HMM with momentum/Gold/BTC 60/30/10 daily exposure
2016-01-21,9287.134376880314,9498.37232321579,9804.587312547264,9686.36759005284,9959.098399730328,9920.68085679904
2016-01-22,9477.666118849404,9682.271848266419,9839.361375134444,9842.515087526104,9984.859342941376,9936.83422654822
2016-01-23,9477.666118849404,9682.271848266419,9851.153151289602,9842.515087526104,9996.754910272983,9948.794259774362
2016-01-24,9477.666118849404,9682.271848266419,9887.667870824967,9842.515087526104,10033.59103225428,9985.830008514815
2016-01-25,9334.39484153712,9480.853841771655,9742.407834265387,9664.291381005261,9929.925802864105,9855.155487088876
2016-01-26,9461.744393853669,9592.044691273031,9846.310136516442,9816.390688881178,10060.497296475633,9983.265374531618
2016-01-27,9358.771811658627,9456.753782654703,9742.598489561775,9617.293947640785,9966.249302919805,9842.085011709596
2016-01-28,9407.5221596573,9502.82849783147,9733.224123572969,9708.57890253989,9907.833834732333,9858.787543297454
2016-01-29,9636.851936668732,9737.745276730286,9875.880177245062,9915.998857911214,10052.370654261746,9983.78597393916
2016-01-30,9636.851936668732,9737.745276730286,9873.036071894516,9915.998857911214,10049.501515104892,9980.901285997023
2016-01-31,9636.851936668732,9737.745276730286,9850.899057929935,9915.998857911214,10027.169651213368,9958.448398572758
2016-02-01,9633.369255776777,9581.716596475357,9735.701933498236,9702.00186577172,9909.960201285454,9808.784741982477
2016-02-02,9459.755188547924,9499.797563353965,9725.90941564106,9617.782127102044,9900.59687846411,9798.402568778873
2016-02-03,9516.465051952833,9609.384772594,9839.26014916769,9674.007105960638,10022.76857893554,9879.627654992108
2016-02-04,9531.390827204066,9586.798952334642,9905.059927416329,9651.997283699284,10107.252994602512,9946.742022752918
2016-02-05,9349.81634650789,9391.240306517606,9773.18474600733,9406.01236236553,9987.50707333675,9785.198843129254
2016-02-06,9349.81634650789,9391.240306517606,9746.559610040676,9406.01236236553,9960.405510956074,9758.283021429159
2016-02-07,9349.81634650789,9391.240306517606,9746.819812166857,9406.01236236553,9960.670369102269,9758.546064368846
2016-02-08,9223.957575594293,9264.303611581963,9766.630595774113,9357.432288383845,10037.788240468095,9827.188518453788
