rebalance_date,selected_assets,sample_members
2015-03-31,30,"TRUE.BK, KBANK.BK, ADVANC.BK, PTT.BK, AOT.BK, BBL.BK, CPALL.BK, KTB.BK, PTTGC.BK, ITD.BK"
2015-04-30,30,"TRUE.BK, KBANK.BK, ADVANC.BK, PTT.BK, AOT.BK, BBL.BK, KTB.BK, CPALL.BK, PTTGC.BK, ITD.BK"
2015-05-29,30,"TRUE.BK, KBANK.BK, ADVANC.BK, PTT.BK, AOT.BK, BBL.BK, KTB.BK, CPALL.BK, PTTGC.BK, ITD.BK"
2015-06-30,30,"TRUE.BK, KBANK.BK, ADVANC.BK, PTT.BK, AOT.BK, BBL.BK, KTB.BK, CPALL.BK, ITD.BK, PTTGC.BK"
2015-07-31,30,"TRUE.BK, KBANK.BK, ADVANC.BK, PTT.BK, AOT.BK, BBL.BK, KTB.BK, ITD.BK, CPALL.BK, PTTGC.BK"
2015-08-31,30,"TRUE.BK, KBANK.BK, PTT.BK, ADVANC.BK, AOT.BK, BBL.BK, KTB.BK, ITD.BK, CPALL.BK, PTTGC.BK"
2015-09-30,30,"TRUE.BK, KBANK.BK, PTT.BK, ADVANC.BK, AOT.BK, BBL.BK, ITD.BK, KTB.BK, CPALL.BK, PTTGC.BK"
2015-10-30,30,"TRUE.BK, KBANK.BK, PTT.BK, ADVANC.BK, AOT.BK, BBL.BK, ITD.BK, KTB.BK, CPALL.BK, PTTGC.BK"
2015-11-30,30,"TRUE.BK, PTT.BK, KBANK.BK, ADVANC.BK, AOT.BK, BBL.BK, ITD.BK, KTB.BK, CPALL.BK, PTTGC.BK"
2015-12-31,30,"TRUE.BK, PTT.BK, KBANK.BK, ADVANC.BK, AOT.BK, ITD.BK, BBL.BK, KTB.BK, CPALL.BK, SCC.BK"
2016-01-29,30,"TRUE.BK, PTT.BK, KBANK.BK, ADVANC.BK, AOT.BK, ITD.BK, BBL.BK, CPALL.BK, KTB.BK, SCC.BK"
2016-02-29,30,"TRUE.BK, PTT.BK, KBANK.BK, ADVANC.BK, AOT.BK, ITD.BK, BBL.BK, KTB.BK, CPALL.BK, SCC.BK"
2016-03-31,30,"TRUE.BK, PTT.BK, KBANK.BK, ADVANC.BK, AOT.BK, ITD.BK, CPALL.BK, BBL.BK, KTB.BK, SCC.BK"
2016-04-29,30,"TRUE.BK, PTT.BK, KBANK.BK, ADVANC.BK, AOT.BK, ITD.BK, CPALL.BK, BBL.BK, KTB.BK, SCC.BK"
2016-05-31,30,"TRUE.BK, PTT.BK, ADVANC.BK, KBANK.BK, AOT.BK, ITD.BK, CPALL.BK, BBL.BK, SCC.BK, KTB.BK"
2016-06-30,30,"PTT.BK, TRUE.BK, KBANK.BK, ADVANC.BK, AOT.BK, CPALL.BK, ITD.BK, SCC.BK, BBL.BK, KTB.BK"
2016-07-29,30,"PTT.BK, TRUE.BK, KBANK.BK, ADVANC.BK, AOT.BK, CPALL.BK, ITD.BK, SCC.BK, BBL.BK, KTB.BK"
2016-08-31,30,"PTT.BK, TRUE.BK, KBANK.BK, ADVANC.BK, AOT.BK, CPALL.BK, SCC.BK, ITD.BK, BBL.BK, KTB.BK"
2016-09-30,30,"PTT.BK, KBANK.BK, TRUE.BK, ADVANC.BK, AOT.BK, CPALL.BK, SCC.BK, ITD.BK, BBL.BK, KTB.BK"
2016-10-31,30,"PTT.BK, KBANK.BK, TRUE.BK, ADVANC.BK, AOT.BK, CPALL.BK, SCC.BK, BBL.BK, ITD.BK, KTB.BK"
2016-11-30,30,"PTT.BK, KBANK.BK, TRUE.BK, AOT.BK, ADVANC.BK, CPALL.BK, SCC.BK, BBL.BK, KTB.BK, PTTGC.BK"
2016-12-30,30,"PTT.BK, KBANK.BK, AOT.BK, ADVANC.BK, TRUE.BK, CPALL.BK, SCC.BK, BBL.BK, KTB.BK, PTTGC.BK"
2017-01-31,30,"PTT.BK, KBANK.BK, AOT.BK, ADVANC.BK, TRUE.BK, CPALL.BK, SCC.BK, KTB.BK, BBL.BK, PTTGC.BK"
2017-02-28,30,"PTT.BK, AOT.BK, KBANK.BK, ADVANC.BK, CPALL.BK, TRUE.BK, SCC.BK, PTTEP.BK, PTTGC.BK, KTB.BK"
2017-03-31,30,"PTT.BK, AOT.BK, KBANK.BK, ADVANC.BK, CPALL.BK, TRUE.BK, SCC.BK, PTTGC.BK, PTTEP.BK, KTB.BK"
2017-04-28,30,"PTT.BK, AOT.BK, KBANK.BK, ADVANC.BK, CPALL.BK, TRUE.BK, SCC.BK, PTTGC.BK, PTTEP.BK, KTB.BK"
2017-05-31,30,"PTT.BK, AOT.BK, KBANK.BK, ADVANC.BK, CPALL.BK, TRUE.BK, SCC.BK, PTTGC.BK, PTTEP.BK, CPF.BK"
2017-06-30,30,"PTT.BK, AOT.BK, KBANK.BK, CPALL.BK, ADVANC.BK, TRUE.BK, SCC.BK, PTTEP.BK, PTTGC.BK, CPF.BK"
2017-07-31,30,"PTT.BK, AOT.BK, CPALL.BK, KBANK.BK, ADVANC.BK, SCC.BK, TRUE.BK, CPF.BK, PTTGC.BK, PTTEP.BK"
2017-08-31,30,"PTT.BK, AOT.BK, KBANK.BK, CPALL.BK, ADVANC.BK, SCC.BK, TRUE.BK, CPF.BK, PTTGC.BK, PTTEP.BK"
2017-09-29,30,"PTT.BK, AOT.BK, KBANK.BK, CPALL.BK, ADVANC.BK, SCC.BK, TRUE.BK, CPF.BK, PTTGC.BK, PTTEP.BK"
2017-10-31,30,"PTT.BK, AOT.BK, CPALL.BK, KBANK.BK, ADVANC.BK, SCC.BK, TRUE.BK, CPF.BK, PTTGC.BK, IVL.BK"
2017-11-30,30,"PTT.BK, AOT.BK, CPALL.BK, KBANK.BK, ADVANC.BK, SCC.BK, TRUE.BK, IVL.BK, CPF.BK, PTTGC.BK"
2017-12-29,30,"AOT.BK, PTT.BK, CPALL.BK, KBANK.BK, ADVANC.BK, SCC.BK, IVL.BK, TRUE.BK, CPF.BK, PTTEP.BK"
2018-01-31,30,"AOT.BK, PTT.BK, CPALL.BK, KBANK.BK, ADVANC.BK, SCC.BK, IVL.BK, TRUE.BK, CPF.BK, BANPU.BK"
2018-02-28,30,"AOT.BK, PTT.BK, CPALL.BK, KBANK.BK, ADVANC.BK, SCC.BK, IVL.BK, TRUE.BK, BANPU.BK, CPF.BK"
2018-03-30,30,"AOT.BK, PTT.BK, CPALL.BK, KBANK.BK, IVL.BK, SCC.BK, ADVANC.BK, BANPU.BK, TRUE.BK, CPF.BK"
2018-04-30,30,"AOT.BK, PTT.BK, CPALL.BK, KBANK.BK, SCC.BK, IVL.BK, ADVANC.BK, BANPU.BK, TRUE.BK, PTTGC.BK"
2018-05-31,30,"AOT.BK, PTT.BK, CPALL.BK, KBANK.BK, SCC.BK, IVL.BK, ADVANC.BK, BANPU.BK, TRUE.BK, PTTGC.BK"
2018-06-29,30,"PTT.BK, AOT.BK, CPALL.BK, KBANK.BK, SCC.BK, IVL.BK, ADVANC.BK, BANPU.BK, TRUE.BK, PTTGC.BK"
2018-07-31,30,"PTT.BK, AOT.BK, CPALL.BK, KBANK.BK, SCC.BK, IVL.BK, ADVANC.BK, BANPU.BK, PTTGC.BK, TRUE.BK"
