,Total Return,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Hit Rate
S&P 500 daily exposure,1.206741725245846,0.0543472041925539,0.11300741573653751,0.25969696184935737,0.2805117876941881,-0.1927981331741615,0.3866772823779193
S&P/Gold/BTC 60/30/10 daily exposure,3.239154750776816,0.10138882987599107,0.10307415949812632,0.6978719401305045,0.8719112666433386,-0.1922590266079479,0.4869957537154989
Static HMM daily exposure,4.884348866808312,0.12580451887640232,0.15565351295144433,0.646976353010999,0.7144738003719274,-0.2492832060664808,0.3781847133757962
Static HMM/Gold/BTC 60/30/10 daily exposure,6.714724659588331,0.1463766751633735,0.12266808337531707,0.9310367750782145,1.1707979713705905,-0.18096961977095338,0.4859341825902335
