Strategy,Total Return,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Hit Rate,Start,End
US HMM/Gold/BTC 60/30/10,6.179528087349508,0.21097540947097704,0.15000691509869565,1.1521625932716804,1.6605999604391948,-0.16261812500504302,0.5485736314572089,2016-01-04,2026-04-29
US/TH/Gold/BTC 50/10/30/10,5.050475905722775,0.19102107473949315,0.13438595873895273,1.1457607376309444,1.6505609708809958,-0.15037704423987275,0.5528141865844256,2016-01-04,2026-04-29
US/TH/Gold/BTC 45/15/30/10,4.547576387534378,0.18102676944576324,0.12705222087488646,1.1379454702902834,1.6401923690124693,-0.14423429709348068,0.5520431765612953,2016-01-04,2026-04-29
US/TH/Gold/BTC 40/20/30/10,4.082284223827433,0.17102256047601183,0.12011604501282859,1.125616911613084,1.6240722181036509,-0.13807688316960343,0.5547417116422514,2016-01-04,2026-04-29
US/TH/Gold/BTC 30/30/30/10,3.2548820807572953,0.15098896223244185,0.10774447505049253,1.0814562840565038,1.5606234855849486,-0.12596869361797325,0.5516576715497301,2016-01-04,2026-04-29
