,Total Return,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Benchmark Relative Return,Turnover
Equal Weight,0.13593780211462914,0.010392121587211811,0.17760891304769907,0.14591527494277634,0.2234808307000951,-0.49045453274640516,0.06108666972516419,0.02199546485260771
Risk Parity,0.19578133912289042,0.014608593676999737,0.16595149770902567,0.16837526616098747,0.25702133433051727,-0.45545268409406536,0.12093020673342547,0.028098078711531943
Static Copula,0.2956655048141008,0.021232412769477405,0.1800600231859726,0.20382169829842212,0.31357237478249556,-0.5055514376485261,0.22081437242463586,0.3306429171650992
Dynamic HMM Copula,0.3101884845209182,0.022156151931564283,0.18008804805282547,0.20869076529135105,0.32110229291828224,-0.5032714426880649,0.23533735213145324,0.33018414075741676
