Strategy,Total Return,CAGR,Annual Vol,Sharpe,Sortino,Max Drawdown,Hit Rate,Start,End
US HMM/Gold/BTC 60/30/10,5.88674225508963,0.20608905858275084,0.13180714907292798,1.2611280303672092,1.704989436006333,-0.19819254187422453,0.5647648419429453,2016-01-04,2026-04-29
US/TH/Gold/BTC 50/10/30/10,4.803733556912009,0.186215240664801,0.11892855899352502,1.2442167261014545,1.6881386591840846,-0.1938098556648319,0.5674633770239013,2016-01-04,2026-04-29
US/TH/Gold/BTC 45/15/30/10,4.321342608672062,0.1762612629303002,0.11328502589316837,1.2259352001209993,1.6722297151392025,-0.19187814161821826,0.5717039321511179,2016-01-04,2026-04-29
US/TH/Gold/BTC 40/20/30/10,3.8750253624997235,0.16629742148164195,0.10828671809298997,1.1987547209725173,1.6456004813985003,-0.18996918437058297,0.5759444872783346,2016-01-04,2026-04-29
US/TH/Gold/BTC 30/30/30/10,3.081365217806767,0.14634465988413914,0.10060429950229884,1.1106063047539245,1.5462565010380538,-0.19939452679391334,0.5705474171164225,2016-01-04,2026-04-29
